Mes;Ac1;Ac2;;;;;;;
JAN;ITUB4;BBDC4;;;;;;;AGRO3.SA
FEV;ITUB4;BBSE3;;;;;;;BBAS3.SA
MAR;BBAS3;ITUB4;;;;;;;BBDC3.SA
ABR;BBDC3;PSSA3;;;;;;;BBDC4.SA
MAI;ITUB4;TAEE11;;;;;;;BBSE3.SA
JUN;SAPR3;CPLE6;;;;;;;CMIG4.SA
JUL;VIVT3;ITSA4;;;;;;;CPLE6.SA
AGO;TAEE11;BBAS3;;;;;;;CSMG3.SA
SET;BBDC4;BBAS3;;;;;;;ITSA4.SA
OUT;ITB4;VIVT3;;;;;;;ITUB4.SA
NOV;AGRO3;CSMG3;;;;;;;PSSA3.SA
DEZ;CMIG4;BBAS3;;;;;;;SAPR3.SA
;;;;;;;;;TAEE11.SA
;;;;;;;;;VIVT3.SA
